District,LastName,FirstName,Party,Status,Primary,General,MatchType
42,Eskamani,Anna V.,DEM,Elected,Unopposed,Won,Starts
42,Jackson,Bonnie,REP,Defeated,Won,Eliminated,Starts
43,Lopez,Johanna,DEM,Elected,Unopposed,Won,Starts
43,Wright,Christopher,REP,Defeated,Won,Eliminated,Starts
44,Harris,"Jennifer ""Rita""",DEM,Elected,Won,Unopposed,Starts
45,Amesty,Carolina,REP,Elected,Won,Won,Starts
45,Braswell,Allie,DEM,Defeated,Unopposed,Eliminated,Starts
46,Arrington,Kristen,DEM,Elected,Unopposed,Won,Starts
46,De La Torre,Christian,REP,Defeated,Unopposed,Eliminated,Starts
47,Nieves,Anthony,DEM,Defeated,Won,Eliminated,Starts
47,Stark,Paula A.,REP,Elected,Unopposed,Won,Starts
48,Killebrew,Sam,REP,Elected,Unopposed,Unopposed,Starts
49,Bell,Melony,REP,Elected,Unopposed,Unopposed,Starts
50,Canady,Jennifer,REP,Elected,Won,Unopposed,Starts
51,Tomkow,Josie,REP,Elected,Won,Unopposed,Starts
52,Marwah,Ash,DEM,Defeated,Unopposed,Eliminated,Starts
52,Temple,John,REP,Elected,Won,Won,Starts
53,Holcomb,Jeff,REP,Elected,Won,Won,Starts
53,Laufenberg,Keith G.,DEM,Defeated,Unopposed,Eliminated,Starts
54,Maggard,Randy,REP,Elected,Unopposed,Won,Starts
54,Staver,Brian,DEM,Defeated,Unopposed,Eliminated,Starts
55,Steele,Kevin M.,REP,Elected,Won,Won,Starts
56,Yeager,Brad,REP,Elected,Won,Unopposed,Starts
57,Anderson,Adam,REP,Elected,Unopposed,Unopposed,Starts
58,Berfield,"Kimberly ""Kim""",REP,Elected,Won,Won,Starts
58,Fensterwald,"Bernard ""Bernie""",DEM,Defeated,Won,Eliminated,Starts
59,Douglas,Dawn,DEM,Defeated,Unopposed,Eliminated,Starts
59,Jacques,Berny,REP,Elected,Won,Won,Starts
60,Cross,Lindsay,DEM,Elected,Unopposed,Won,Starts
60,Henson,Audrey,REP,Defeated,Unopposed,Eliminated,Starts
61,Chaney,Linda,REP,Elected,Unopposed,Won,Starts
61,Varnell Warwick,Janet,DEM,Defeated,Unopposed,Eliminated,Starts
62,Brown,Jeremy M.,REP,Defeated,Unopposed,Eliminated,Starts
62,Rayner,Michele K.,DEM,Elected,Won,Won,Starts
63,Hart,"Dianne ""Ms Dee""",DEM,Elected,Unopposed,Unopposed,Starts
